channel_name,category,subscribers
Jess No Limit,Humor | Video games,48800000
Ricis Official,Daily vlogs,45300000
Frost Diamond,Animation | Video games,37800000
AH,Daily vlogs,31300000
Rans Entertainment,Humor | Daily vlogs | Food & Drinks,26200000
Deddy Corbuzier,Podcast,22600000
MiawAug,Video games,21900000
Baim Paula,Humor | Daily vlogs,21300000
Nasya Official,Humor | Toys,20900000
Yudist Ardhana,Humor | Daily vlogs | Food & Drinks,20900000
Vilmei,Daily vlogs | Food & Drinks,19400000
tanboy kun,Food & Drinks,18800000
GEN HALILINTAR,Daily vlogs,18700000
Klara Tania,Movies | Humor,18400000
Arif muhammad,Show | Humor,17300000
Dyland PROS,Video games,16300000
Bobon Santoso,Food & Drinks,16100000
Daftar Populer,Science & Technology,15700000
Kerajinan 5-Menit,DIY & Life Hacks,15500000
BUDI01 GAMING,Video games,14000000
Kaleb Andri,Movies | Animation | Humor,14000000
Cheryl Antoinette,Movies | Mystery,13100000
Windah Basudara,Video games,13000000
Aishwa Nahla Official,Music & Dance,13000000
Hariyo Ardhito,Food & Drinks | Humor,12600000
GadgetIn,Science & Technology,12200000
Wisnu Trijaya,Food & Drinks | Toys,12200000
FrontaL Gaming,Video games,12100000
Si Bocil - Bocah Cilik,Show | Humor,12100000
Jessica Jane,Food & Drinks,11600000
itsmeissie,Daily vlogs,11600000
Ale Khin,Movies,11400000
RIYAN PEOTT,Daily vlogs,11200000
The LetsPlay Family,Food & Drinks | Toys,11000000
Islam Populer,Science & Technology | Education,10700000
Jeevan Akawa,Movies | Animation,10700000
WARINTIL OFFICIAL,Show | Humor,10600000
Nessie Judge,Mystery,10500000
Nihongo Mantappu,Daily vlogs | Food & Drinks,10400000
Sara Wijayanto,Mystery,10400000
SULE PRODUCTIONS,Humor,10300000
Raditya Dika,Podcast,10300000
Ani Nurhayani,Video games,10300000
efdewe,Video games,10300000
Yosua Andre,Movies,10200000
Najwa Shihab,News & Politics,10000000
Panji Petualang,Animal & Pets,10000000
LetDa Hyper,Video games,10000000
animasinopal,Movies | Animation,9900000
Rendy Rangers,Video games,9700000
CnX Adventurers,Show | Humor,9600000
deHakims channel,Daily vlogs | Animal & Pets,9600000
Nadia Omara,Mystery,9600000
Cerita jekho,Humor,9300000
NussaOfficial,Animation,9300000
The Onsu Family,Family & Parenting | Daily vlogs,9200000
Maell Lee,Show | Humor,8800000
Rizalmuk,Humor,8600000
Ninis marsela,Humor,8600000
kemas pake z,Daily vlogs | Food & Drinks,8400000
Mikael Family,Mystery,8400000
MOP Channel,News & Politics | Mystery,8300000
ibnu wardani,Daily vlogs,8300000
fikrifadlu,Show | Humor,8300000
TRI SUAKA CHANNEL,Daily vlogs | Music & Dance,8200000
Oura,Video games,8200000
Erpan1140,Humor,8100000
Putih Abu-Abu,Music & Dance,8100000
musisi jogja project,Music & Dance,8000000
Sisca Kohl,Food & Drinks,8000000
